Date,ALR_open,ALR_high,ALR_low,ALR_close,ALR_volume,MBK_open,MBK_high,MBK_low,MBK_close,MBK_volume,PEO_open,PEO_high,PEO_low,PEO_close,PEO_volume,PKO_open,PKO_high,PKO_low,PKO_close,PKO_volume,SPL_open,SPL_high,SPL_low,SPL_close,SPL_volume
2020-03-02,22.06,23.08,21.8,22.42,1054344,304.0,307.0,288.2,296.8,40944,89.9,92.72,87.16,89.26,756361,32.33,32.55,31.32,32.35,3913456,260.4,261.8,252.0,260.0,108224
2020-03-03,22.96,23.8,22.52,23.5,561884,305.0,335.4,298.2,330.4,25817,90.2,95.28,90.02,94.78,998119,32.65,33.78,32.55,33.1,4036412,260.0,279.0,258.0,272.2,112138
2020-03-04,23.38,23.46,22.9,23.02,588945,331.0,331.0,314.0,317.2,29914,94.4,95.88,93.4,94.14,527940,33.0,33.36,32.51,32.56,2754026,268.0,276.4,268.0,274.0,53365
2020-03-05,23.5,23.52,22.02,22.28,831914,325.0,325.0,306.0,309.2,13766,95.32,95.74,92.66,92.9,515614,32.75,33.06,31.64,31.64,2759371,270.0,276.4,265.2,266.8,58814
2020-03-06,21.94,21.96,20.46,20.58,963071,300.6,305.0,295.0,301.8,21850,91.9,92.4,88.82,89.68,940230,31.33,31.71,30.37,30.62,2964149,261.4,263.4,248.0,252.2,74158
2020-03-09,18.74,19.8,17.92,18.15,960863,296.6,296.6,263.6,263.6,28741,85.0,86.0,80.54,82.3,833133,29.0,29.46,27.45,27.72,3523517,240.6,242.0,222.8,228.0,121099
2020-03-10,18.52,19.1,18.2,18.49,822098,263.6,268.8,241.4,243.8,30397,83.0,83.98,80.0,80.26,757085,28.1,28.76,27.32,27.92,3821020,228.0,232.4,217.6,221.4,81951
2020-03-11,18.8,18.8,16.44,16.65,928231,255.6,255.6,225.0,229.6,41848,81.44,81.86,75.02,75.24,1026635,28.11,28.31,26.31,26.63,2961506,221.4,225.0,205.8,208.6,78601
2020-03-12,15.85,15.9,13.34,13.34,994367,213.0,217.6,192.1,192.1,38145,70.0,70.24,60.5,60.5,1041792,25.5,25.5,23.18,23.18,3752953,193.3,194.9,172.1,172.1,101018
2020-03-13,13.45,15.06,13.0,13.91,1316262,208.0,212.8,186.5,208.4,78690,62.5,67.32,61.0,63.68,2007479,23.99,25.37,23.1,23.5,6764837,177.0,191.3,164.7,186.5,190412
2020-03-16,13.9,13.9,12.37,13.15,965147,210.0,218.8,188.0,198.2,56682,61.0,61.0,54.9,55.76,1552789,22.94,23.11,20.3,21.5,6971289,180.0,180.0,157.1,168.2,187423
2020-03-17,13.18,14.16,12.73,14.04,839399,208.4,241.6,200.0,233.4,52285,57.78,60.38,52.8,55.94,2193015,22.24,22.87,21.01,22.1,7318962,170.0,205.6,170.0,195.6,163734
2020-03-18,13.7,15.07,13.51,14.0,1040611,238.0,242.4,220.2,242.0,29780,54.0,56.76,52.32,52.74,1574306,21.91,22.21,20.75,21.0,5416181,193.0,194.3,176.2,190.6,89065
2020-03-19,14.36,14.98,14.21,14.58,704733,244.8,261.2,230.2,241.4,45853,52.6,54.54,51.86,53.0,1672233,21.28,22.07,20.86,21.89,6072444,187.4,210.0,184.2,210.0,87756
2020-03-20,15.09,15.63,14.02,14.47,1603968,255.0,259.0,242.0,248.4,78195,55.0,58.2,54.6,56.8,2146807,23.0,24.01,22.58,23.06,7642094,219.4,241.2,199.9,204.0,275885
2020-03-23,13.99,13.99,13.1,13.38,810768,248.4,248.4,224.0,224.0,42703,55.0,55.26,53.0,53.1,919061,22.5,22.76,21.4,21.45,3359361,190.0,194.4,178.6,179.4,147013
2020-03-24,14.1,14.2,12.9,13.15,1284363,237.0,237.0,216.8,225.0,53732,55.64,56.18,53.86,54.5,971677,22.5,22.8,21.55,22.31,3066740,190.0,190.9,175.0,175.2,148492
2020-03-25,13.64,13.75,12.7,13.0,1015259,233.0,233.2,212.0,219.4,31776,57.0,57.9,53.3,55.2,1144492,23.41,23.45,21.61,21.84,3507067,186.0,186.0,162.9,175.9,187923
2020-03-26,12.8,13.38,12.8,13.24,789274,219.4,230.2,219.0,225.6,18338,54.88,57.5,52.3,57.0,875323,21.5,23.49,20.89,23.46,4434379,172.4,177.7,168.5,177.7,107243
2020-03-27,13.3,13.45,12.76,13.0,866516,231.0,231.0,216.6,222.0,40281,57.46,58.2,54.6,55.32,781913,23.46,23.99,22.51,22.75,3166546,178.0,179.0,171.0,173.9,100665
2020-03-30,13.03,13.1,12.62,12.91,411087,225.0,226.6,216.0,224.4,24145,56.0,56.16,53.88,56.0,505762,22.95,22.95,22.08,22.51,2130445,172.7,174.1,169.0,174.1,57558
2020-03-31,13.06,13.24,12.62,12.88,854838,221.0,229.4,220.0,221.8,27771,56.3,57.26,55.0,56.14,887961,22.8,23.39,22.52,22.62,3455596,175.0,178.3,171.2,173.5,111564
2020-04-01,12.78,12.86,12.275,12.37,1024242,218.6,220.4,212.2,212.4,43986,55.2,55.8,54.02,54.02,866353,22.4,22.53,21.92,22.2,2957324,170.1,172.3,165.0,165.5,117808
2020-04-02,12.585,12.585,11.8,11.86,1940411,214.2,214.2,206.2,213.6,36009,54.76,54.8,53.04,54.02,1080461,22.3,22.44,21.22,21.83,3870599,165.0,165.4,153.5,157.9,201633
2020-04-03,12.0,12.0,11.4,11.75,986099,209.4,217.6,203.4,217.6,36541,53.42,53.64,52.52,53.4,724173,21.75,21.85,21.15,21.85,3727048,154.7,156.9,148.2,152.5,221640
2020-04-06,12.4,12.84,12.18,12.74,1343638,222.0,228.8,217.6,228.0,31769,54.8,57.3,54.52,57.02,995270,22.45,22.8,22.14,22.68,3490143,157.5,173.8,157.5,172.9,133718
