,ALR Open,MBK Open,PEO Open,PKO Open,SPL Open
0,22.06,304.0,89.9,32.33,260.4
1,22.96,305.0,90.2,32.65,260.0
2,23.38,331.0,94.4,33.0,268.0
3,23.5,325.0,95.32,32.75,270.0
4,21.94,300.6,91.9,31.33,261.4
5,18.74,296.6,85.0,29.0,240.6
6,18.52,263.6,83.0,28.1,228.0
7,18.8,255.6,81.44,28.11,221.4
8,15.85,213.0,70.0,25.5,193.3
9,13.45,208.0,62.5,23.99,177.0
10,13.9,210.0,61.0,22.94,180.0
11,13.18,208.4,57.78,22.24,170.0
12,13.7,238.0,54.0,21.91,193.0
13,14.36,244.8,52.6,21.28,187.4
14,15.09,255.0,55.0,23.0,219.4
15,13.99,248.4,55.0,22.5,190.0
16,14.1,237.0,55.64,22.5,190.0
17,13.64,233.0,57.0,23.41,186.0
18,12.8,219.4,54.88,21.5,172.4
19,13.3,231.0,57.46,23.46,178.0
20,13.03,225.0,56.0,22.95,172.7
21,13.06,221.0,56.3,22.8,175.0
22,12.78,218.6,55.2,22.4,170.1
23,12.585,214.2,54.76,22.3,165.0
24,12.0,209.4,53.42,21.75,154.7
25,12.4,222.0,54.8,22.45,157.5
26,13.3,230.0,58.0,23.13,173.8
27,14.78,231.0,61.04,23.8,177.0
28,14.2,224.0,56.9,22.5,165.8
29,15.4,233.6,57.0,23.2,174.4
30,16.93,242.4,57.5,23.31,174.0
31,16.9,227.4,55.0,22.6,162.5
32,15.9,228.0,54.5,22.5,162.0
33,15.74,220.0,54.9,22.09,157.0
34,14.68,218.0,54.7,21.91,156.5
35,14.0,210.2,52.5,21.25,154.8
36,14.57,219.0,51.72,21.4,154.3
37,14.875,219.8,49.8,21.18,149.0
38,14.625,216.2,50.1,20.98,148.2
39,14.0,202.2,47.97,19.8,144.0
40,14.35,201.4,49.01,20.56,152.9
41,15.01,217.0,52.4,22.4,166.0
42,14.71,220.0,51.0,21.69,159.7
43,14.88,207.4,50.5,21.82,152.9
44,14.68,200.0,50.48,21.2,150.1
45,14.05,196.0,49.46,20.78,149.4
46,14.03,192.0,50.7,21.45,150.8
47,13.995,191.0,50.32,21.34,153.0
48,13.67,185.0,49.86,20.65,146.7
49,13.84,184.6,50.7,21.23,149.0
50,13.68,189.5,50.5,21.03,152.4
51,13.355,186.1,50.0,20.84,152.8
52,13.48,183.6,50.54,21.0,148.6
53,13.77,189.6,52.3,21.9,157.0
54,13.5,187.0,51.48,21.56,151.8
55,13.5,187.2,51.4,21.62,152.0
56,13.65,185.0,51.1,21.1,152.6
57,13.595,186.2,51.22,21.37,151.3
58,13.51,186.0,51.9,21.59,154.0
59,14.85,188.6,53.48,22.65,167.0
60,15.31,213.0,56.0,23.59,172.9
61,14.38,210.0,52.52,22.1,165.0
62,14.6,218.0,53.34,22.63,166.0
63,14.8,215.0,53.28,22.56,166.5
64,15.31,218.0,52.8,22.22,166.8
65,15.78,223.0,54.5,22.56,170.0
66,17.4,227.0,55.5,22.9,179.0
67,18.35,251.6,57.48,23.67,184.8
68,18.07,262.4,60.8,24.85,195.0
69,17.9,252.0,58.2,24.24,187.0
70,16.7,233.0,54.0,22.5,172.0
71,17.97,238.2,53.5,22.2,169.0
72,18.09,246.0,54.2,22.3,179.0
73,18.1,244.2,56.3,23.61,180.2
74,17.73,244.6,54.86,22.6,183.2
75,17.9,245.2,55.48,23.2,179.0
76,17.7,244.6,54.64,22.96,181.0
77,17.5,242.0,54.4,22.83,185.7
78,17.535,245.0,56.44,23.56,186.8
79,16.8,241.0,54.3,22.64,179.0
80,16.92,241.6,54.68,22.91,182.0
81,16.31,236.0,52.8,22.37,177.6
82,16.59,239.0,53.34,22.72,180.0
